,short_ma,long_ma,signal,regime,cumulative_return,sharpe
1574,13,55,11,1.0,0.9977415576171876,-0.0019734178050436653
1663,15,51,10,1.0,0.9977415576171876,-0.0019734178050436653
1002,6,24,8,1.0,0.997692171630859,-0.0018580719141234317
1275,9,55,13,1.0,0.9975274560546887,-0.002185831860903304
1473,12,55,10,1.0,0.9975274560546887,-0.002185831860903304
1662,15,51,8,1.0,0.9975274560546887,-0.002185831860903304
1672,15,55,8,1.0,0.9975274560546887,-0.002185831860903304
1157,7,46,16,1.0,0.9968414318847657,-0.002804417714829591
1456,12,46,15,1.0,0.9956328021240225,-0.003833567667792987
1159,7,46,20,1.0,0.9951939495849612,-0.004179784274626246
1206,9,24,15,1.0,0.9931119708251952,-0.005944169533393234
1529,13,33,20,1.0,0.9922192749023425,-0.0066137736903897374
1628,15,33,18,1.0,0.9922192749023425,-0.0066137736903897374
1719,16,28,20,1.0,0.9922192749023425,-0.0066137736903897374
1826,18,33,15,1.0,0.9922192749023425,-0.0066137736903897374
1907,20,28,16,1.0,0.9922192749023425,-0.0066137736903897374
1915,20,33,13,1.0,0.9922192749023425,-0.0066137736903897374
1091,7,20,6,1.0,0.9915783111572257,-0.006598054580072694
1447,12,42,16,1.0,0.9888910668945315,-0.009767475737301289
1694,16,20,11,1.0,0.9869628179931641,-0.011304178531542355
1942,20,46,8,1.0,0.9868239495849612,-0.011504918077051469
1396,12,20,15,1.0,0.985827583618164,-0.01228774120940616
1537,13,37,16,1.0,0.9848942852783222,-0.01333922902201101
1735,16,37,13,1.0,0.9848942852783222,-0.01333922902201101
1039,6,37,20,1.0,0.9827359234619147,-0.01486566693814973
1921,20,37,6,1.0,0.9827359234619147,-0.01486566693814973
1226,9,33,15,1.0,0.979518893432617,-0.017901827137009368
1524,13,33,11,1.0,0.979518893432617,-0.017901827137009368
1498,13,20,18,1.0,0.9791398748779305,-0.01822871846507304
1795,18,20,13,1.0,0.9791398748779305,-0.01822871846507304
1209,9,24,20,1.0,0.9784094598388674,-0.01886999225531484
1218,9,28,18,1.0,0.9784094598388674,-0.01886999225531484
1317,10,28,16,1.0,0.9784094598388674,-0.01886999225531484
1399,12,20,20,1.0,0.9784094598388674,-0.01886999225531484
1407,12,24,16,1.0,0.9784094598388674,-0.01886999225531484
1506,13,24,15,1.0,0.9784094598388674,-0.01886999225531484
1515,13,28,13,1.0,0.9784094598388674,-0.01886999225531484
1605,15,24,13,1.0,0.9784094598388674,-0.01886999225531484
1614,15,28,11,1.0,0.9784094598388674,-0.01886999225531484
1713,16,28,10,1.0,0.9784094598388674,-0.01886999225531484
1804,18,24,11,1.0,0.9784094598388674,-0.01886999225531484
1276,9,55,15,1.0,0.978091983642578,-0.0193142532328127
1375,10,55,13,1.0,0.978091983642578,-0.0193142532328127
1573,13,55,10,1.0,0.978091983642578,-0.0193142532328127
992,6,20,8,1.0,0.9777328509521485,-0.017337236700990875
1738,16,37,18,1.0,0.9776754016113278,-0.01938943790947557
1837,18,37,16,1.0,0.9776754016113278,-0.01938943790947557
1754,16,46,11,1.0,0.9765690032958975,-0.020805353981725394
1268,9,51,18,1.0,0.9763358300781252,-0.02093974998679248
1278,9,55,18,1.0,0.9763358300781252,-0.02093974998679248
1377,10,55,16,1.0,0.9763358300781252,-0.02093974998679248
1485,12,60,13,1.0,0.9763358300781252,-0.02093974998679248
1773,16,55,10,1.0,0.9763358300781252,-0.02093974998679248
1952,20,51,8,1.0,0.9763358300781252,-0.02093974998679248
1367,10,51,16,1.0,0.976177401123047,-0.02115242130322578
1763,16,51,10,1.0,0.976177401123047,-0.02115242130322578
1413,12,28,10,1.0,0.9735933081054692,-0.0231030111872054
1638,15,37,18,1.0,0.973512122802734,-0.023056457441702063
1729,16,33,20,1.0,0.973512122802734,-0.023056457441702063
1836,18,37,15,1.0,0.973512122802734,-0.023056457441702063
1917,20,33,16,1.0,0.973512122802734,-0.023056457441702063
1237,9,37,16,1.0,0.9727052008056651,-0.023856838022386143
1345,10,42,13,1.0,0.9727052008056651,-0.023856838022386143
1444,12,42,11,1.0,0.9727052008056651,-0.023856838022386143
1543,13,42,10,1.0,0.9727052008056651,-0.023856838022386143
1742,16,42,8,1.0,0.9727052008056651,-0.023856838022386143
1832,18,37,8,1.0,0.9727052008056651,-0.023856838022386143
1277,9,55,16,1.0,0.9726359533691404,-0.024187591203432578
1862,18,51,8,1.0,0.9726359533691404,-0.024187591203432578
1909,20,28,20,1.0,0.972613626098633,-0.023953860052450267
1453,12,46,10,1.0,0.9723135986328125,-0.024198154552183652
1652,15,46,8,1.0,0.9723135986328125,-0.024198154552183652
1010,6,28,5,1.0,0.9720636157226562,-0.022869308950457013
1507,13,24,16,1.0,0.9709626446533206,-0.025492881677559455
1597,15,20,16,1.0,0.9709626446533206,-0.025492881677559455
1696,16,20,15,1.0,0.9709626446533206,-0.025492881677559455
1697,16,20,16,1.0,0.9709626446533206,-0.025492881677559455
1705,16,24,13,1.0,0.9709626446533206,-0.025492881677559455
1246,9,42,15,1.0,0.9709443463134776,-0.025406072090217197
1030,6,37,5,1.0,0.9703923358154297,-0.024783369132518104
1288,9,60,18,1.0,0.9703121807861324,-0.026968671058095046
1416,12,28,15,1.0,0.9691501446533205,-0.027122248397442945
1495,13,20,13,1.0,0.9683165216064445,-0.02785361789998681
1594,15,20,11,1.0,0.9683165216064445,-0.02785361789998681
1019,6,28,20,1.0,0.9682437292480477,-0.027656365359194992
1901,20,28,6,1.0,0.9682437292480477,-0.027656365359194992
1637,15,37,16,1.0,0.9680400952148428,-0.027618659170572244
1736,16,37,15,1.0,0.9680400952148428,-0.027618659170572244
1129,7,33,20,1.0,0.9678656024169922,-0.028251359556103958
1227,9,33,16,1.0,0.9678656024169922,-0.028251359556103958
1236,9,37,15,1.0,0.9678656024169922,-0.028251359556103958
1245,9,42,13,1.0,0.9678656024169922,-0.028251359556103958
1335,10,37,13,1.0,0.9678656024169922,-0.028251359556103958
1434,12,37,11,1.0,0.9678656024169922,-0.028251359556103958
1443,12,42,10,1.0,0.9678656024169922,-0.028251359556103958
1533,13,37,10,1.0,0.9678656024169922,-0.028251359556103958
1732,16,37,8,1.0,0.9678656024169922,-0.028251359556103958
1822,18,33,8,1.0,0.9678656024169922,-0.028251359556103958
1138,7,37,18,1.0,0.9674696002197274,-0.028598569180745867
1642,15,42,8,1.0,0.9674696002197274,-0.028598569180745867
1219,9,28,20,1.0,0.9667561688232428,-0.02922447879915215
1309,10,24,20,1.0,0.9667561688232428,-0.02922447879915215
1318,10,28,18,1.0,0.9667561688232428,-0.02922447879915215
1326,10,33,15,1.0,0.9667561688232428,-0.02922447879915215
1425,12,33,13,1.0,0.9667561688232428,-0.02922447879915215
1623,15,33,10,1.0,0.9667561688232428,-0.02922447879915215
1714,16,28,11,1.0,0.9667561688232428,-0.02922447879915215
1813,18,28,10,1.0,0.9667561688232428,-0.02922447879915215
1893,20,24,10,1.0,0.9667561688232428,-0.02922447879915215
1902,20,28,8,1.0,0.9667561688232428,-0.02922447879915215
1199,9,20,20,1.0,0.9667001068115237,-0.029234856036849034
1207,9,24,16,1.0,0.9667001068115237,-0.029234856036849034
1315,10,28,13,1.0,0.9667001068115237,-0.029234856036849034
1414,12,28,11,1.0,0.9667001068115237,-0.029234856036849034
1513,13,28,10,1.0,0.9667001068115237,-0.029234856036849034
1612,15,28,8,1.0,0.9667001068115237,-0.029234856036849034
1802,18,24,8,1.0,0.9667001068115237,-0.029234856036849034
1238,9,37,18,1.0,0.9646714312744136,-0.030994840986064552
1247,9,42,16,1.0,0.9646714312744136,-0.030994840986064552
1256,9,46,15,1.0,0.9646714312744136,-0.030994840986064552
1336,10,37,15,1.0,0.9646714312744136,-0.030994840986064552
1337,10,37,16,1.0,0.9646714312744136,-0.030994840986064552
1346,10,42,15,1.0,0.9646714312744136,-0.030994840986064552
1544,13,42,11,1.0,0.9646714312744136,-0.030994840986064552
1633,15,37,10,1.0,0.9646714312744136,-0.030994840986064552
1643,15,42,10,1.0,0.9646714312744136,-0.030994840986064552
1733,16,37,10,1.0,0.9646714312744136,-0.030994840986064552
1842,18,42,8,1.0,0.9646714312744136,-0.030994840986064552
1922,20,37,8,1.0,0.9646714312744136,-0.030994840986064552
1235,9,37,13,1.0,0.9646495477294922,-0.031022247906442046
1424,12,33,11,1.0,0.9646495477294922,-0.031022247906442046
1433,12,37,10,1.0,0.9646495477294922,-0.031022247906442046
1722,16,33,8,1.0,0.9646495477294922,-0.031022247906442046
1228,9,33,18,1.0,0.9643895983886723,-0.031259267969949475
1229,9,33,20,1.0,0.9643895983886723,-0.031259267969949475
1319,10,28,20,1.0,0.9643895983886723,-0.031259267969949475
