,short_ma,long_ma,signal,regime,cumulative_return,sharpe
611,20,28,10,,1.5139033544921885,0.2399608251008159
612,9,28,18,,1.513622447586061,0.24156858124712652
613,16,33,11,,1.5128076110839854,0.23953155848395405
614,10,28,20,,1.511692799453737,0.2391371669115302
615,9,42,15,,1.5103050160980198,0.23899410995879036
616,13,33,13,,1.5101588763427738,0.23869367277931042
617,12,28,15,,1.5091165063858052,0.23894327195584664
618,12,33,18,,1.5068985623169011,0.2343396438176581
619,15,60,13,,1.5067028569793732,0.23492661800741263
620,13,60,15,,1.5067028569793732,0.23492661800741263
621,16,46,8,,1.503672079429627,0.2365487683279509
622,16,33,10,,1.502506785888673,0.2365139381860043
623,15,20,11,,1.5004785031890866,0.23831890542976528
624,9,42,16,,1.5002777401351974,0.23487854553679557
625,15,20,13,,1.4991856674575788,0.23762669364662117
626,15,24,18,,1.4973755773544322,0.23019025819198574
627,18,51,20,,1.4969591398620576,0.23059601080932132
628,20,51,18,,1.4969591398620576,0.23059601080932132
629,18,55,11,,1.4969498883819585,0.23047932011873012
630,9,46,15,,1.4956910137176558,0.23338366660884474
631,12,37,13,,1.4947854172897306,0.2327791896703161
632,18,24,15,,1.49389752368927,0.22885071412538108
633,12,60,16,,1.4917878394317576,0.22869953720910882
634,13,20,15,,1.4889760525894133,0.23366259555249175
635,18,42,8,,1.4888340975952188,0.23030103476174008
636,16,24,13,,1.4864163974761904,0.22955614873180746
637,13,24,16,,1.4864163974761904,0.22955614873180746
638,10,46,13,,1.4862328292083704,0.22940204445751164
639,13,46,10,,1.4862328292083704,0.22940204445751164
640,10,33,16,,1.4848167765426676,0.2297060126524118
641,7,42,18,,1.4847509617233248,0.22939304026838797
642,9,28,20,,1.4847438218688962,0.22999020394921285
643,7,51,18,,1.4823743592834446,0.22994308536849256
644,18,24,16,,1.4765923279571516,0.22254465618560038
645,16,24,18,,1.4765923279571516,0.22254465618560038
646,12,51,11,,1.4755037703323344,0.2249260569310366
647,12,28,18,,1.4750068734741264,0.22217522981366777
648,16,20,20,,1.4740551889419589,0.22146965942471974
649,15,33,15,,1.4729391517639185,0.22177530081120017
650,13,51,10,,1.4718188398361258,0.22355150576684904
651,10,51,13,,1.4717375987625056,0.223518516640276
652,12,60,11,,1.4716530755233739,0.22524161786900157
653,10,55,20,,1.4695855028533915,0.22015565972785284
654,18,28,10,,1.4672146647644002,0.22296053801921661
655,18,55,8,,1.4671735580062855,0.2224739611547822
