,short_ma,long_ma,signal,cumulative_return,sharpe
724,7,24,9,0.8582697497558606,-0.05639979551203687
553,6,54,14,0.857284865112302,-0.058083211940602085
1878,8,55,11,0.8563362695312521,-0.058469891492034874
4624,13,22,5,0.8551365417480479,-0.0576943667739007
5296,14,23,5,0.854747591552731,-0.057792305973711794
3298,11,21,7,0.8545889044189465,-0.05790563440060538
55,6,23,12,0.8544577606201202,-0.0579409201328886
491,6,50,16,0.8543055944824197,-0.059285243213989196
4913,13,40,6,0.8542915777587933,-0.05933860442553144
328,6,40,13,0.8542543798828108,-0.059347058555899584
4754,13,30,7,0.8541966052246108,-0.05924355570836869
824,7,30,13,0.8541966052246108,-0.05924355570836869
1426,8,27,7,0.8541506884765621,-0.05821933266157199
771,7,27,8,0.8541506884765621,-0.05821933266157199
952,7,38,13,0.8538389489746075,-0.05945521699654285
4882,13,38,7,0.8537718481445274,-0.0594902662556399
314,6,39,15,0.8535726000976528,-0.059648883417613006
5058,13,49,7,0.8534453326415972,-0.05977661890160963
8001,18,28,6,0.853401494750973,-0.0597655308947704
57,6,23,14,0.8529189282226552,-0.05861268502922827
5297,14,23,6,0.8529189282226552,-0.05861268502922827
8304,18,47,5,0.85250716491699,-0.0600136880205706
5920,15,21,5,0.8523240374755879,-0.05895404986806612
1813,8,51,10,0.8521809259033194,-0.060335796811213725
3123,10,51,8,0.8521809259033194,-0.060335796811213725
1409,8,26,6,0.8518943157959006,-0.059167975983111167
99,6,26,8,0.8518943157959006,-0.059167975983111167
3843,11,55,8,0.8515439892578079,-0.060574398852798764
9744,20,56,5,0.8513575592040965,-0.060754373621297895
743,7,25,12,0.8511181616210923,-0.05959855724557868
4018,12,25,7,0.8511181616210923,-0.05959855724557868
6209,15,39,6,0.8502102032470691,-0.061111895616097124
857,7,32,14,0.8494085198974654,-0.061439567235629655
695,7,22,12,0.8490749481201181,-0.06034861846763385
3970,12,22,7,0.8490749481201181,-0.06034861846763385
3936,12,20,5,0.8489049829101567,-0.060356193517083545
2704,10,25,5,0.8485583178710909,-0.06058230517333859
5442,14,32,7,0.8483776165771519,-0.06182115777682945
6513,15,58,6,0.8467176483154286,-0.06266683875941342
618,6,58,15,0.8467176483154286,-0.06266683875941342
321,6,40,6,0.8465899102783208,-0.06145651730145537
4016,12,25,5,0.8464999847412081,-0.06133565083263819
4755,13,30,8,0.8464806842041007,-0.06268039398009388
8240,18,43,5,0.8464558032226552,-0.06287946128788165
1480,8,30,13,0.8464394256591751,-0.0627208009442829
5793,14,54,6,0.8461271765136723,-0.06307962813460423
9008,19,50,5,0.8459980566406226,-0.0630249577934568
2688,10,24,5,0.8456081372070319,-0.06193430603366724
904,7,35,13,0.8454747747802733,-0.06309210899371336
5952,15,23,5,0.8448153796386673,-0.06224684625391662
3296,11,21,5,0.8445577465820309,-0.06236719115493446
2085,9,27,10,0.8442010333251913,-0.06305834633492467
2740,10,27,9,0.8442010333251913,-0.06305834633492467
1192,7,53,13,0.843558150024413,-0.06420244701433706
8224,18,42,5,0.8435182342529336,-0.06416551442550265
5809,14,55,6,0.8430730590820256,-0.06442032468503897
889,7,34,14,0.8427803607177741,-0.06439451478904057
4834,13,35,7,0.8427038775634796,-0.06445597379769599
8288,18,46,5,0.8426826361083993,-0.0645801690070665
7025,16,49,6,0.8426470410156274,-0.06445999266998417
5266,14,21,7,0.8422535900878869,-0.06346802072445965
681,7,21,14,0.8422535900878869,-0.06346802072445965
2006,9,22,11,0.8421980566406219,-0.06347007385602917
3316,11,22,9,0.8421980566406219,-0.06347007385602917
7616,17,45,5,0.842084603881835,-0.06478979528605369
2772,10,29,9,0.8419616516113232,-0.06437457917819865
2117,9,29,10,0.8419616516113232,-0.06437457917819865
8192,18,40,5,0.8419150335693303,-0.06491376610376498
4802,13,33,7,0.8417899926757844,-0.06485326562270047
872,7,33,13,0.8417899926757844,-0.06485326562270047
475,6,49,16,0.8412737701415934,-0.06512662222200757
4000,12,24,5,0.8411361267089857,-0.06363856636942901
1095,7,47,12,0.840991407470703,-0.06511412855789075
4370,12,47,7,0.840991407470703,-0.06511412855789075
5122,13,53,7,0.8407179595947246,-0.06546872622007101
7584,17,43,5,0.8402962768554665,-0.06553610902379294
866,7,33,7,0.8400915502929718,-0.06431590373805397
346,6,41,15,0.8398285791015654,-0.06572168727227937
194,6,32,7,0.8397357336425785,-0.06432646430039693
849,7,32,6,0.8397357336425785,-0.06432646430039693
936,7,37,13,0.8397312915039097,-0.06572730490495142
833,7,31,6,0.8397202917480521,-0.06438024828035407
178,6,31,7,0.8397202917480521,-0.06438024828035407
1127,7,49,12,0.8396673803710898,-0.06607070217421039
4402,12,49,7,0.8396673803710898,-0.06607070217421039
2690,10,24,7,0.8394454016113251,-0.06448337465404226
725,7,24,10,0.8394454016113251,-0.06448337465404226
2631,10,20,12,0.8391414294433556,-0.06568858349823072
3941,12,20,10,0.8391414294433556,-0.06568858349823072
5474,14,34,7,0.8389350640869154,-0.06605396249168557
5617,14,43,6,0.8384838122558592,-0.06636197568502951
678,7,21,11,0.838464497070309,-0.06507194109092371
377,6,43,14,0.8382831079101569,-0.06645557576729608
4866,13,37,7,0.8376077911376979,-0.0666829079874443
7041,16,50,6,0.8374449066162081,-0.06704616912056949
458,6,48,15,0.8366590820312512,-0.06727008905533151
679,7,21,12,0.8366445532226545,-0.06571323262389148
3954,12,21,7,0.8366445532226545,-0.06571323262389148
40,6,22,13,0.8365513110351549,-0.06576121795592844
4625,13,22,6,0.8365513110351549,-0.06576121795592844
778,7,27,15,0.8364647442626939,-0.06721811345088943
195,6,32,8,0.8364621014404331,-0.06593419862632681
1505,8,32,6,0.8364621014404331,-0.06593419862632681
710,7,23,11,0.8364512487792961,-0.06581879572123232
3330,11,23,7,0.8364512487792961,-0.06581879572123232
793,7,28,14,0.8362280316162078,-0.06736802963008291
5378,14,28,7,0.8362280316162078,-0.06736802963008291
6018,15,27,7,0.8355746002197273,-0.0675749592768995
7169,16,58,6,0.8353375366210978,-0.06784312815680932
2720,10,26,5,0.8352602636718766,-0.06650570003275455
2454,9,50,11,0.8337058435058615,-0.06861810578135276
3764,11,50,9,0.8337058435058615,-0.06861810578135276
7185,16,59,6,0.8335906121826182,-0.0685805789202972
826,7,30,15,0.8335179534912084,-0.06870547771554485
6066,15,30,7,0.8333897125244168,-0.06869711472600991
1317,8,20,10,0.832953414306639,-0.06754595937355636
2627,10,20,8,0.832953414306639,-0.06754595937355636
507,6,51,16,0.832508211059568,-0.06924636865699156
7057,16,51,6,0.832508211059568,-0.06924636865699156
619,6,58,16,0.8325035174560574,-0.06908094764606243
8816,19,38,5,0.8324647888183603,-0.06916573941445604
1752,8,47,13,0.8320727191162095,-0.06946527865045855
5027,13,47,8,0.831739479980465,-0.0696105575833084
6353,15,48,6,0.8314704711914048,-0.06959924980435597
280,6,37,13,0.8313548535156255,-0.06937610631474841
4865,13,37,6,0.8312531512451158,-0.06940028015118203
2340,9,43,9,0.8311169750976606,-0.06979206442876008
442,6,47,15,0.8306524041748056,-0.06997250618624781
5346,14,26,7,0.8305187023925763,-0.06932489010849122
761,7,26,14,0.8305187023925763,-0.06932489010849122
6497,15,57,6,0.8304455017089839,-0.07016342122748598
602,6,57,15,0.8304455017089839,-0.07016342122748598
506,6,51,15,0.8302955792236363,-0.07012817185693523
522,6,52,15,0.8299803173828108,-0.07013767090100699
754,7,26,7,0.8297602264404247,-0.0687446848854328
5938,15,22,7,0.829461581420897,-0.06978802280513885
920,7,36,13,0.8292878961181647,-0.07037108205620964
3093,10,49,10,0.8291175280761708,-0.07047512933732385
1526,8,33,11,0.8289222625732396,-0.0705966047460406
3491,11,33,8,0.8289222625732396,-0.0705966047460406
79,6,24,20,0.8278531793212932,-0.07087770264971652
2737,10,27,6,0.8270549212646486,-0.06987312491408774
1815,8,51,12,0.8268900207519516,-0.07167821587460296
635,6,59,16,0.8265849261474604,-0.07168039163893321
2452,9,50,9,0.8263602062988261,-0.07179012379118989
2469,9,51,10,0.8261197735595672,-0.07205791191224387
3124,10,51,9,0.8261197735595672,-0.07205791191224387
5458,14,33,7,0.8260109106445285,-0.07212526903192304
6241,15,41,6,0.8258301751708976,-0.07200721969846323
1536,8,34,5,0.8256070159912096,-0.07060896851850818
